iter	Logloss
0	0.6776471176
1	0.6638727913
2	0.6511906368
3	0.640101233
4	0.6300968483
5	0.6210592749
6	0.6130146459
7	0.605765044
8	0.5992283651
9	0.5934896991
10	0.5882412743
11	0.5835247297
12	0.5791891215
13	0.5753611743
14	0.5720093235
15	0.5689219401
16	0.5660977844
17	0.5635191511
18	0.5613332203
19	0.5593066407
20	0.5574493439
21	0.5557257194
22	0.5542191513
23	0.5528396703
24	0.5516132563
25	0.5504771873
26	0.5494119101
27	0.5484742968
28	0.5475768302
29	0.5467701003
30	0.5460223469
31	0.5453286706
32	0.5447118987
33	0.5441360853
34	0.5436069615
35	0.5431687516
36	0.5427001858
37	0.5422706453
38	0.5418578719
39	0.5415080381
40	0.5411092255
41	0.540797844
42	0.5405264926
43	0.5401924877
44	0.5399053043
45	0.539645384
46	0.5394130528
47	0.5391933659
48	0.5389606025
49	0.538765109
50	0.5385925987
51	0.5384079473
52	0.538238888
53	0.5380822761
54	0.5379389266
55	0.5378004174
56	0.5376463082
57	0.5374972674
58	0.5373682872
59	0.5372215318
60	0.5371101639
61	0.5369844062
62	0.5369020207
63	0.5367962043
64	0.5367258694
65	0.5366108284
66	0.5364941718
67	0.5363841305
68	0.5362620095
69	0.5361952855
70	0.5361108956
71	0.5360105643
72	0.5358975055
73	0.5357878449
74	0.5356970213
75	0.5355658287
76	0.5354890076
77	0.5354036358
78	0.5352816194
79	0.5351507011
80	0.5350493975
81	0.5349983134
82	0.5348946026
83	0.5347823988
84	0.5347097867
85	0.5346274436
86	0.5345221601
87	0.5344223723
88	0.5343313296
89	0.5342607809
90	0.5342035131
91	0.5341244005
92	0.5340494795
93	0.5339244061
94	0.5338393212
95	0.5337692668
96	0.533728324
97	0.5336815788
98	0.533621608
99	0.5335311679
100	0.5334820589
101	0.5333901577
102	0.5333450595
103	0.5332491745
104	0.533135125
105	0.5330429058
106	0.532971933
107	0.5329153923
108	0.5328507527
109	0.5327319962
110	0.5326477969
111	0.5325730981
112	0.5324866631
113	0.5324048664
114	0.5323414544
115	0.532256359
116	0.5321199038
117	0.532083148
118	0.5319858266
119	0.531917797
120	0.5318080943
121	0.531706213
122	0.5316589511
123	0.531605524
124	0.5315336318
125	0.5314562795
126	0.531378309
127	0.5313473305
128	0.5312983706
129	0.5312499978
130	0.5311548044
131	0.5310972931
132	0.5310076435
133	0.5309378371
134	0.5308908939
135	0.530809039
136	0.5307559031
137	0.5306860172
138	0.5306052071
139	0.5305436416
140	0.5304786832
141	0.5304046969
142	0.5303318563
143	0.5302471791
144	0.5301957482
145	0.5300886172
146	0.5300106401
147	0.5299671298
148	0.5299282756
149	0.5298487826
150	0.5297772903
151	0.5297147241
152	0.5296296431
153	0.5295597351
154	0.529489747
155	0.5294068383
156	0.5293255867
157	0.5292477419
158	0.5291440894
159	0.5290803102
160	0.5290371169
161	0.5289752862
162	0.5289291283
163	0.5288705598
164	0.5288291971
165	0.5287852493
166	0.5287178851
167	0.5286352473
168	0.5285510037
169	0.5284990636
170	0.5284574269
171	0.5284153128
172	0.5283575449
173	0.5282954953
174	0.5282492766
175	0.5281894515
176	0.5281000722
177	0.5280498437
178	0.5279957311
179	0.5279438357
180	0.5278928803
181	0.527798409
182	0.5277069675
183	0.5276608685
184	0.5276202711
185	0.52758503
186	0.5275285638
187	0.5274530389
188	0.5274074923
189	0.5273646444
190	0.5272813893
191	0.5272360143
192	0.5271896764
193	0.5271038494
194	0.5270179036
195	0.5269258102
196	0.5268712264
197	0.5268134807
198	0.5267575096
199	0.5266973963
