iter	Passed	Remaining
0	11	9541
1	25	10317
2	41	11101
3	54	10891
4	70	11152
5	83	11030
6	98	11165
7	111	10998
8	123	10856
9	139	11056
10	153	10993
11	168	11042
12	182	11065
13	194	10911
14	208	10890
15	221	10852
16	233	10767
17	247	10737
18	260	10717
19	274	10707
20	290	10763
21	302	10705
22	314	10630
23	328	10634
24	343	10662
25	357	10639
26	371	10622
27	385	10622
28	399	10608
29	413	10604
30	426	10582
31	440	10571
32	452	10518
33	464	10465
34	476	10417
35	490	10402
36	502	10355
37	515	10338
38	528	10320
39	542	10305
40	556	10297
41	570	10302
42	584	10289
43	597	10273
44	611	10267
45	625	10256
46	637	10206
47	650	10197
48	664	10186
49	678	10184
50	690	10147
51	704	10136
52	716	10096
53	731	10108
54	745	10093
55	758	10080
56	774	10097
57	787	10080
58	801	10065
59	814	10048
60	827	10023
61	843	10038
62	860	10066
63	878	10107
64	895	10123
65	908	10108
66	922	10093
67	936	10080
68	950	10069
69	964	10056
70	976	10023
71	988	9990
72	1002	9980
73	1015	9966
74	1028	9940
75	1042	9930
76	1054	9900
77	1066	9875
78	1080	9858
79	1093	9842
80	1107	9829
81	1121	9816
82	1134	9798
83	1148	9786
84	1161	9766
85	1177	9772
86	1189	9745
87	1203	9736
88	1216	9719
89	1230	9707
90	1245	9707
91	1261	9708
92	1277	9708
93	1291	9700
94	1303	9673
95	1316	9655
96	1331	9650
97	1348	9657
98	1365	9670
99	1379	9657
100	1393	9642
101	1406	9625
102	1420	9612
103	1434	9599
104	1447	9581
105	1461	9567
106	1474	9550
107	1487	9533
108	1502	9523
109	1517	9516
110	1531	9506
111	1545	9492
112	1558	9475
113	1572	9460
114	1586	9448
115	1597	9419
116	1610	9400
117	1625	9393
118	1639	9379
119	1653	9370
120	1669	9367
121	1686	9372
122	1703	9376
123	1720	9381
124	1737	9382
125	1751	9369
126	1768	9370
127	1782	9356
128	1795	9338
129	1808	9321
130	1824	9318
131	1838	9304
132	1851	9287
133	1865	9272
134	1877	9248
135	1890	9232
136	1904	9218
137	1919	9207
138	1932	9188
139	1945	9171
140	1959	9157
141	1972	9141
142	1986	9126
143	1999	9109
144	2012	9092
145	2026	9075
146	2039	9061
147	2054	9052
148	2068	9037
149	2081	9021
150	2095	9007
151	2109	8992
152	2122	8977
153	2137	8965
154	2151	8952
155	2165	8938
156	2179	8925
157	2192	8907
158	2205	8891
159	2218	8873
160	2232	8859
161	2246	8846
162	2262	8843
163	2276	8827
164	2289	8811
165	2303	8798
166	2318	8787
167	2332	8773
168	2345	8755
169	2358	8741
170	2371	8723
171	2384	8706
172	2397	8689
173	2411	8674
174	2424	8660
175	2439	8647
176	2453	8634
177	2467	8620
178	2481	8607
179	2494	8591
180	2508	8578
181	2521	8560
182	2534	8543
183	2546	8526
184	2560	8510
185	2573	8495
186	2587	8480
187	2600	8464
188	2613	8448
189	2626	8434
190	2640	8419
191	2655	8410
192	2670	8397
193	2683	8382
194	2697	8369
195	2713	8363
196	2727	8348
