date,portfolio_value,cummax,drawdown
2019-01-01,100000.0,100000.0,0.0
2019-01-02,99905.36585,100000.0,-0.0009463414999999475
2019-01-03,101693.99872142856,101693.99872142856,0.0
2019-01-04,102055.3224,102055.3224,0.0
2019-01-07,103141.59414285715,103141.59414285715,0.0
2019-01-08,105528.4017,105528.4017,0.0
2019-01-09,108495.4517,108495.4517,0.0
2019-01-10,106974.9517,108495.4517,-0.014014412366375684
2019-01-11,107258.72509285714,108495.4517,-0.01139887974808862
2019-01-14,107465.42509285713,108495.4517,-0.00949373076017046
2019-01-15,107797.44527857142,108495.4517,-0.006433508598670423
2019-01-16,108831.21087142857,108831.21087142857,0.0
2019-01-17,109217.66087142858,109217.66087142858,0.0
2019-01-18,109414.68968571427,109414.68968571427,0.0
2019-01-21,108786.93968571427,109414.68968571427,-0.005737346619573369
2019-01-22,108396.98968571427,109414.68968571427,-0.009301310481465208
2019-01-23,107290.46507285714,109414.68968571427,-0.019414437119538608
2019-01-24,107481.99240214285,109414.68968571427,-0.017663965315104946
2019-01-25,107378.22201214285,109414.68968571427,-0.01861237900889745
2019-01-28,108859.39056214286,109414.68968571427,-0.005075178892034238
2019-01-29,109092.64902285715,109414.68968571427,-0.002943303717098278
2019-01-30,109540.99902285714,109540.99902285714,0.0
2019-01-31,114191.43043714286,114191.43043714286,0.0
2019-02-01,115437.74713714285,115437.74713714285,0.0
2019-02-04,112756.06185714286,115437.74713714285,-0.02323057532311401
2019-02-05,111421.86185714285,115437.74713714285,-0.03478831993515108
2019-02-06,124013.85482142858,124013.85482142858,0.0
2019-02-07,126388.98482142859,126388.98482142859,0.0
2019-02-08,129294.60790714287,129294.60790714287,0.0
2019-02-11,129250.93790714286,129294.60790714287,-0.0003377557711561341
2019-02-12,134997.12790714286,134997.12790714286,0.0
2019-02-13,130436.83810285716,134997.12790714286,-0.033780643151330336
2019-02-14,132721.18810285715,134997.12790714286,-0.016859172039950354
2019-02-15,127826.38810285715,134997.12790714286,-0.053117721209728797
2019-02-18,128032.83810285716,134997.12790714286,-0.05158842941515063
2019-02-19,128184.33810285716,134997.12790714286,-0.05046618331740982
2019-02-20,130303.93810285715,134997.12790714286,-0.03476510854004167
2019-02-21,130963.68810285714,134997.12790714286,-0.0298779675302433
2019-02-22,130290.18810285714,134997.12790714286,-0.03486696255881361
2019-02-25,131905.82413142856,134997.12790714286,-0.022899033658261514
2019-02-26,131074.82413142858,134997.12790714286,-0.029054720174581883
2019-02-27,128473.82413142856,134997.12790714286,-0.048321796743715395
2019-02-28,129562.52413142857,134997.12790714286,-0.04025718072648521
2019-03-01,135402.33493142857,135402.33493142857,0.0
2019-03-05,136606.47223142858,136606.47223142858,0.0
2019-03-06,138151.02223142856,138151.02223142856,0.0
2019-03-07,135735.57223142855,138151.02223142856,-0.017484126870619066
2019-03-08,135704.22223142858,138151.02223142856,-0.017711052444484565
2019-03-11,138919.77223142856,138919.77223142856,0.0
2019-03-12,139165.77223142856,139165.77223142856,0.0
2019-03-13,137774.82223142858,139165.77223142856,-0.009994914537512
2019-03-14,137789.82223142855,139165.77223142856,-0.009887129413630902
2019-03-15,136256.07223142855,139165.77223142856,-0.020908158330492865
2019-03-18,135773.03690642858,139165.77223142856,-0.024379093153437004
2019-03-19,138362.16810642858,139165.77223142856,-0.005774438010975991
2019-03-20,137264.86810642856,139165.77223142856,-0.013659279106638778
2019-03-22,137794.46810642857,139165.77223142856,-0.009853745666136615
2019-03-25,135460.31960642856,139165.77223142856,-0.026626178014791946
2019-03-26,136592.51960642857,139165.77223142856,-0.018490556864232066
2019-03-27,138156.07925642858,139165.77223142856,-0.007255325492829479
2019-03-28,139543.0261064286,139543.0261064286,0.0
2019-03-29,139507.2761064286,139543.0261064286,-0.00025619338348537024
2019-04-01,138910.9599064286,139543.0261064286,-0.004529543450762841
2019-04-02,138181.55990642856,139543.0261064286,-0.009756605098714455
2019-04-03,137906.00990642858,139543.0261064286,-0.011731264869886626
2019-04-04,136078.40990642857,139543.0261064286,-0.024828300608570553
2019-04-05,140051.4997492857,140051.4997492857,0.0
2019-04-08,136573.52489928572,140051.4997492857,-0.02483354234853674
2019-04-09,133809.75974214287,140051.4997492857,-0.044567462814154246
2019-04-10,131750.75974214287,140051.4997492857,-0.059269197559486786
2019-04-11,132562.55974214285,140051.4997492857,-0.05347275838208965
2019-04-12,132119.55974214285,140051.4997492857,-0.05663588052496593
2019-04-15,132477.45974214288,140051.4997492857,-0.054080392003666766
2019-04-16,130861.45974214286,140051.4997492857,-0.06561900460612313
2019-04-18,129818.85974214286,140051.4997492857,-0.07306340899926722
2019-04-22,129398.35974214286,140051.4997492857,-0.07606587595429992
2019-04-23,128051.05974214287,140051.4997492857,-0.0856859086023749
2019-04-24,126413.81299214285,140051.4997492857,-0.09737622789871192
2019-04-25,125127.26299214285,140051.4997492857,-0.10656249153960928
2019-04-26,124660.91299214285,140051.4997492857,-0.10989233806631438
2019-04-30,123868.85114214284,140051.4997492857,-0.11554784230167015
2019-05-02,121406.28764785713,140051.4997492857,-0.13313111344617112
2019-05-03,136834.94728785715,140051.4997492857,-0.02296692621776042
2019-05-06,138943.98871642858,140051.4997492857,-0.007907884134334409
2019-05-07,134595.29281999997,140051.4997492857,-0.038958575517243244
2019-05-08,132762.39282,140051.4997492857,-0.05204590413051158
2019-05-09,136034.99281999998,140051.4997492857,-0.028678785564423714
2019-05-10,135852.99281999998,140051.4997492857,-0.029978307528314208
2019-05-13,130545.09281999999,140051.4997492857,-0.06787793737520609
2019-05-14,133730.19282,140051.4997492857,-0.045135588984065445
2019-05-15,131259.69282,140051.4997492857,-0.06277552860929314
2019-05-16,133271.00224499998,140051.4997492857,-0.04841431556551601
2019-05-17,134459.618695,140051.4997492857,-0.0399273200522382
2019-05-20,151752.5213842857,151752.5213842857,0.0
2019-05-21,150309.6213842857,151752.5213842857,-0.009508243993825438
2019-05-22,154746.33144142857,154746.33144142857,0.0
2019-05-23,152787.88144142856,154746.33144142857,-0.01265587353029618
2019-05-24,150935.45248428572,154746.33144142857,-0.02462661907164676
