entry_date,symbol,entry_price,shares,investment_amount,probability,darvas_breakout_up,feature_NORM_ATR,feature_volume_ratio,feature_VOL_20,feature_darvas_high_normalized,feature_ema_9_21_diff,feature_ema_50_200_diff,feature_distance_from_high,feature_darvas_low_normalized,feature_Normalized_JMA,feature_close_normalized
2019-01-02,NSE:RAJESHEXPO-EQ,572.45,87,49803.15,,0,0.0146238598505172,1.2547004767138612,0.0025714212666802,1.3709494278976329,-4.226200661373755e-06,-0.0843236091228839,0.9997285313546285,0.9468949253209886,2.062583797976376,0.00027146864537152133
2019-01-02,NSE:TIINDIA-EQ,353.0,127,44831.0,,0,0.0380716309186564,8.706197144924904,0.0220929835880553,0.9263456090651558,0.0305077560965053,0.0951943272518977,0.9990463921837619,0.7648725212464589,1.698585849819008,0.0009536078162381084
2019-01-04,NSE:ICIL-EQ,56.65,828,46906.2,,0,0.0225696633463623,0.8728891489041918,0.0115002535630929,1.581641659311562,-0.0161065274084447,-0.2843740073325084,0.9983868705288259,1.2912621359223302,-1.3572097883413563,0.0016131294711740757
2019-01-08,NSE:RAJESHEXPO-EQ,571.25,88,50270.0,,0,0.0174804626445764,0.6700567759571312,0.0034444707285414,1.0589934354485777,0.0011637526834981,-0.0824908391455343,1.0,0.9838074398249453,2.6986416235313166,0.0
2019-01-08,NSE:GODFRYPHLP-EQ,301.9,151,45586.899999999994,,0,0.0402356504045805,0.3725258839480975,0.0186514794242182,1.0544219940377608,0.0049089412631202,0.0142113712048848,0.9654174703775146,0.8463729711825109,0.275725875930579,0.03458252962248541
2019-01-18,NSE:GICRE-EQ,254.8,288,73382.40000000001,,0,0.0173245122224713,0.522584667083751,0.0116513416636479,1.407182103610675,-0.0174476173233477,-0.1797093841900729,1.0,1.1695447409733124,-1.2875625789628165,0.0
2019-01-23,NSE:LAURUSLABS-EQ,75.14,955,71758.7,,0,0.0186413932088672,0.1291059845117197,0.0057838651114385,1.0762576523822198,-0.0032336008576006,-0.1176960650813139,0.9987773123514094,0.9725845089166888,-1.522147526602457,0.001222687648590527
2019-01-24,NSE:MOIL-EQ,160.95,296,47641.2,,0,0.0159987573780677,0.7579699034699703,0.0059619626892352,1.1307859583721653,-0.0162609624088334,-0.0650859454634853,0.08085592943482522,1.0316868592730664,-2.0513054036962868,0.9191440705651748
2019-01-25,NSE:SCHNEIDER-EQ,90.85,550,49967.5,,0,0.02342951489897,0.8799748604142371,0.006747289608784,1.4089157952669236,-0.0305309448352804,-0.0596806585664685,1.0,1.0875068794716567,-2.0100876660549645,0.0
2019-01-28,NSE:TIPSMUSIC-EQ,6.0,7797,46782.0,,0,0.0272619047619047,3.8014264796183457,0.0114521007010478,1.0966666666666667,-0.001737662699917,-0.228548482282959,0.9999858266600524,0.9766666666666667,-0.647452233381376,1.4173339947558592e-05
2019-01-31,NSE:DISHTV-EQ,23.65,2572,60827.799999999996,,0,0.1318332829960737,1.6126177170488278,0.0871498042248511,1.8012684989429177,-0.1820596431357873,-0.7133072255374817,0.9989409864711022,0.8076109936575054,-2.833361950640024,0.0010590135288978317
2019-02-04,NSE:TIIL-EQ,515.2,72,37094.4,,0,0.0455024401064774,0.9214228208835062,0.0182052262236253,1.232531055900621,-0.0411388435297581,0.0452622604946638,0.22849182376835742,1.0724961180124222,-2.7417071876268966,0.7715081762316426
2019-02-13,NSE:AMBER-EQ,644.3,138,88913.4,,0,0.0661847852597503,0.2290178061502925,0.0244770855636203,1.4752444513425425,-0.089178867498031,-0.1828181888343791,0.30693592609313236,1.0414403228309794,-1.9955731877175595,0.6930640739068676
2019-02-18,NSE:APOLLOHOSP-EQ,1116.85,23,25687.55,,0,0.0473077980800594,1.2576022572116687,0.0290831901090959,1.242109504409724,-0.0443797467567847,0.0635505249666822,0.40062635509515787,0.9759591708823925,-2.625289751566196,0.5993736449048421
2019-03-05,NSE:IGARASHI-EQ,406.3,241,97918.3,,0,0.0557469849864632,4.23162668850559,0.0294059476737462,1.752153581097711,-0.0601354673481356,-0.2796157657713598,0.30297563661912996,1.432439084420379,-1.491111398189393,0.69702436338087
2019-03-11,NSE:REFEX-EQ,8.91,3075,27398.25,,0,0.0392015392015392,0.1652616842868111,0.031684346140497,0.5589225589225589,0.1300964591059061,0.1312867820757694,0.9754233409610984,0.4388327721661055,2.622686457904332,0.0245766590389016
2019-03-13,NSE:ABBOTINDIA-EQ,7353.15,3,22059.449999999997,,0,0.0174623897824159,1.7051537270515371,0.0116820045276574,1.1321678464331613,-0.0119665146709598,0.0379908947704865,0.26894351717464937,0.9725355799895283,-1.2069131957471588,0.7310564828253506
2019-03-18,NSE:LINDEINDIA-EQ,502.4,176,88422.4,,0,0.0506426296633302,0.2192875553042522,0.0340470198477143,1.6301751592356688,0.0145857500774414,0.0097392295941233,0.8480259599783667,0.8263335987261147,0.6614088259902158,0.15197404002163326
2019-04-02,NSE:OPTIEMUS-EQ,101.4,281,28493.4,,0,0.0537827557058326,0.8014229185138879,0.0292214778080853,1.234714003944773,-0.0243469487672962,-0.3137620823466983,0.9462635037309277,0.9423076923076922,-1.3183075120050047,0.053736496269072315
2019-04-05,NSE:ENDURANCE-EQ,1172.6,77,90290.2,,0,0.0171505323944348,0.1883484773859934,0.0067459723661099,1.1810932969469556,-0.0068820705127286,-0.0233674713443819,0.23691829673045695,0.9636704758655978,-1.0382730971058374,0.763081703269543
2019-04-22,NSE:SKIPPER-EQ,62.77,375,23538.75,,0,0.0336716811943831,0.7811912539999499,0.0198739838112791,1.1470447666082524,-0.0066612839570196,-0.5093675091128055,0.9983959342171816,0.9961765174446391,-1.1999289364984285,0.00160406578281836
2019-04-25,NSE:IMAGICAA-EQ,8.85,9333,82597.05,,0,0.0682001614205004,0.1570705987444671,0.0423818045862183,1.3954802259887005,-0.0165359513528356,-1.06423786289521,0.9995543087853603,0.903954802259887,-1.1079349403611414,0.0004456912146396453
2019-05-02,NSE:RPOWER-EQ,5.35,5287,28285.449999999997,,0,0.1341789052069426,3.534461960633935,0.0516246904604327,5.785046728971963,-0.2461363502323962,-2.045205833529596,1.0,1.7009345794392523,-2.4155192201657503,0.0
2019-05-06,NSE:PNBHOUSING-EQ,568.96,149,84775.04000000001,,0,0.0436623714446407,0.5565254924524768,0.0276553668432844,1.419519825646794,-0.07262462026809,-0.1880442895781599,0.32875682299209075,0.9749367266591676,-2.489760267448856,0.6712431770079093
2019-05-07,NSE:RPOWER-EQ,6.05,3745,22657.25,,0,0.1340023612750885,1.1247863333156027,0.0766365730992233,5.115702479338843,-0.2038071579674378,-1.825854588451792,0.9994129240575335,1.5041322314049586,-2.1102224089852064,0.0005870759424665578
2019-05-13,NSE:IFCI-EQ,9.1,9243,84111.3,,0,0.0533751962323391,0.7398970989509314,0.029753691955232,1.6043956043956045,-0.1160220647732628,-0.2508699991003789,1.0,1.3626373626373627,-2.2259302620252046,0.0
2019-05-22,NSE:BATAINDIA-EQ,1384.85,73,101094.04999999999,,0,0.029546779176703,0.7098306685037572,0.0186510341753076,0.8056468209553382,-0.0065217450013822,0.1398120721686893,0.9322817738871914,0.6719139256959238,-1.1931637692859256,0.06771822611280866
2019-05-24,NSE:ZYDUSLIFE-EQ,252.8,90,22752.0,,0,0.0478074141048824,1.0708492085786991,0.0234711384186689,1.3947784810126582,-0.0790816195236474,-0.1550761079900737,0.9994458308235091,1.2678006329113924,-1.8915393460290448,0.0005541691764908363
2019-05-27,NSE:BATAINDIA-EQ,1338.05,66,88311.3,,0,0.0305375092752246,2.905554144293498,0.0177991937345098,0.8338253428496694,-0.0090592423892489,0.1397036391765642,0.943324327831719,0.6954149695452337,-1.4145041396873397,0.05667567216828099
2019-05-31,NSE:ZYDUSLIFE-EQ,248.0,122,30256.0,,0,0.0449020737327189,1.0410992250979971,0.0247602118092255,1.4217741935483872,-0.0531889482448125,-0.1748299232085852,0.999776267102659,1.2923387096774193,-1.4161751915645469,0.00022373289734102056
2019-06-06,NSE:ARVIND-EQ,73.5,754,55419.0,,0,0.0538386783284742,0.6289216135026804,0.0323193038110127,1.3142857142857143,-0.0196502877084169,-1.1302511713687204,0.9980841970820847,1.1482993197278912,-1.072391820857264,0.001915802917915216
2019-06-17,NSE:LTFOODS-EQ,23.5,2741,64413.5,,0,0.0556231003039513,1.7082943376145945,0.0349862538671518,1.770212765957447,-0.0743170844472437,-0.4093755482815807,1.0,1.5319148936170213,-1.686040409326948,0.0
2019-06-18,NSE:RPOWER-EQ,4.55,11472,52197.6,,0,0.1499215070643642,1.026715153092392,0.0552343100404904,6.802197802197802,-0.1391782597165143,-2.2514447886130258,1.0,2.0,-2.2842066155561147,0.0
2019-06-20,NSE:SPARC-EQ,123.05,605,74445.25,,0,0.051750159633134,1.4553289312950817,0.0280475535067038,1.6570499796830558,-0.0688183219636792,-0.518657422506054,0.982380476516068,1.4542868752539617,-1.923957606391821,0.017619523483932018
2019-06-24,NSE:OPTIEMUS-EQ,48.0,838,40224.0,,0,0.1592261904761905,0.4588275189181112,0.0587915516590304,2.6645833333333333,-0.3109900034594737,-0.6798582130999042,1.0,2.189583333333333,-1.912400496595181,0.0
2019-07-01,NSE:BANCOINDIA-EQ,59.1,1324,78248.40000000001,,0,0.0321730722745951,0.9945842064328306,0.0124459579636072,1.3282571912013537,-0.0493687490651778,-0.2276651381552375,1.0,1.0042301184433164,-1.914502674695846,0.0
2019-07-08,NSE:BANCOINDIA-EQ,58.53,1517,88790.01,,0,0.0349515510971174,1.0593546429074672,0.0142741763344557,1.3411925508286349,-0.035121886099029,-0.2370745885088547,1.0,1.0140099094481463,-1.4500360226582123,0.0
2019-07-15,NSE:ELECON-EQ,21.33,1483,31632.389999999996,,0,0.0330520393811533,0.652604041929957,0.0159666318523937,1.640881387716831,-0.0369390177999466,-0.1936172276026655,0.9997985901309164,1.4383497421472107,-1.5332522794852843,0.0002014098690835808
2019-07-17,NSE:BALAMINES-EQ,323.9,243,78707.7,,0,0.0334759405460239,2.0687277411532925,0.0139825134643784,1.6597715344242052,-0.051296072202748,-0.1748997718089416,1.0,1.3130595862920655,-2.0491837578396432,0.0
2019-07-18,NSE:JAMNAAUTO-EQ,45.25,1442,65250.5,,0,0.0340962904498816,0.8846293214083362,0.0126393486857086,1.3657458563535911,-0.0510468644478871,-0.1667037105878027,1.0,1.1502762430939226,-2.2369660022123767,0.0
2019-07-18,NSE:ELECON-EQ,20.2,2145,43329.0,,0,0.0337340876944837,0.7679452818976703,0.0150246863705293,1.7326732673267327,-0.0444357743643435,-0.2136519979460583,1.0,1.5188118811881188,-1.6899980917688906,0.0
2019-07-22,NSE:BANCOINDIA-EQ,52.13,1217,63442.21000000001,,0,0.0348990161957743,0.7660488541197985,0.0145728182080154,1.5058507577210818,-0.0541204759987553,-0.2895673256314744,1.0,1.138499904085939,-1.6642844938673345,0.0
2019-07-22,NSE:FEDERALBNK-EQ,95.6,441,42159.6,,0,0.035004482964734,1.6519605454026591,0.0191866953227264,1.0198744769874477,-0.022027052217071,0.0816707788031803,0.9621282527881041,0.877092050209205,-2.736813263472194,0.03787174721189591
2019-07-24,NSE:ELECON-EQ,19.25,3212,61831.0,,0,0.0379220779220779,1.038801053797924,0.0162062271575257,1.8181818181818181,-0.0615756105492203,-0.2423029574660543,0.9999499023095035,1.5937662337662337,-2.000224206415264,5.009769049646705e-05
2019-07-29,NSE:HDFCBANK-EQ,561.08,114,63963.12,,0,0.0177896709407367,0.8009017567751775,0.0110380008440511,1.1154024381549867,-0.0215196378834349,0.058611297908449,0.9902662297615598,0.9905361089327724,-2.6370911203873537,0.009733770238440225
2019-07-30,NSE:PTC-EQ,57.5,740,42550.0,,0,0.0254658385093167,0.9775700990681472,0.0110382901647473,1.2834782608695652,-0.0372820413738187,-0.1505987683490952,1.0,1.114782608695652,-2.33281398978936,0.0
2019-08-02,NSE:PTC-EQ,55.6,740,41144.0,,0,0.029483556012333,0.7844449429256891,0.0110063868089023,1.3273381294964028,-0.0470498220867373,-0.1651301216559837,1.0,1.1528776978417266,-2.2687244784258374,0.0
2019-08-02,NSE:DCMSHRIRAM-EQ,402.35,154,61961.9,,0,0.0625343961369809,0.5894735777633207,0.0268710815823009,1.466384988194358,-0.0944487935142472,0.1090050545384394,0.426474773346343,0.9699266807505902,-2.4450513724463048,0.573525226653657
2019-08-05,NSE:BBL-EQ,432.33,91,39342.03,,0,0.0337671950328948,0.5446997460500904,0.0119380591363735,1.405176601207411,-0.051731896564551,-0.1027892584918662,1.0,1.1959614183609741,-2.0075083046867106,0.0
