date,action,symbol,shares,entry_price,exit_price,pnl,reason,holding_days,allocation_multiplier,adjusted_capital
2019-01-02,BUY,NSE:RAJESHEXPO-EQ,87,572.45,,,ENTRY,,1.0,50000.0
2019-01-02,BUY,NSE:TIINDIA-EQ,127,353.0,,,ENTRY,,1.0,45132.342165
2019-01-03,SELL,NSE:TIINDIA-EQ,38,353.0,366.4392857142857,496.7681642857133,T1_EXIT,1.0,1.0,
2019-01-03,SELL,NSE:TIINDIA-EQ,27,353.0,379.87857142857143,715.4647071428574,T2_EXIT,1.0,1.0,
2019-01-04,SELL,NSE:TIINDIA-EQ,62,353.0,366.4392857142857,810.516478571427,STOPLOSS,2.0,1.0,
2019-01-04,BUY,NSE:ALKYLAMINE-EQ,149,314.74,,,ENTRY,,1.0,46912.46868
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,26,572.45,580.8214285714287,202.55578571428705,T1_EXIT,5.0,1.0,
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,18,572.45,589.1928571428572,290.76595714285696,T2_EXIT,5.0,1.0,
2019-01-08,SELL,NSE:RAJESHEXPO-EQ,43,572.45,580.8214285714287,334.9961071428594,STOPLOSS,6.0,1.0,
2019-01-08,BUY,NSE:RAJESHEXPO-EQ,87,571.25,,,ENTRY,,1.0,50231.949111
2019-01-15,SELL,NSE:RAJESHEXPO-EQ,26,571.25,581.2357142857143,244.51644285714235,T1_EXIT,7.0,1.0,
2019-01-16,SELL,NSE:RAJESHEXPO-EQ,18,571.25,591.2214285714285,348.84372857142785,T2_EXIT,8.0,1.0,
2019-01-17,T3_TRAIL,NSE:RAJESHEXPO-EQ,0,571.25,,,T3_MILESTONE_TRAIL,9.0,1.0,
2019-01-17,TRAIL_SL,NSE:RAJESHEXPO-EQ,0,571.25,,,TRAIL_T4,9.0,1.0,
2019-01-18,SELL,NSE:RAJESHEXPO-EQ,43,571.25,601.2071428571428,1262.3052357142833,STOPLOSS,10.0,1.0,
2019-01-18,BUY,NSE:GICRE-EQ,203,254.8,,,ENTRY,,1.0,51857.31910242857
2019-01-21,SELL,NSE:ALKYLAMINE-EQ,45,314.74,324.8385714285714,439.8179785714275,T1_EXIT,17.0,1.0,
2019-01-21,SELL,NSE:ALKYLAMINE-EQ,31,314.74,334.9371428571429,615.7283771428574,T2_EXIT,17.0,1.0,
2019-01-21,T3_TRAIL,NSE:ALKYLAMINE-EQ,0,314.74,,,T3_MILESTONE_TRAIL,17.0,1.0,
2019-01-22,SELL,NSE:ALKYLAMINE-EQ,73,314.74,334.9371428571429,1449.9410171428576,STOPLOSS,18.0,1.0,
2019-01-22,BUY,NSE:LAURUSLABS-EQ,659,75.34,,,ENTRY,,1.0,49720.37977800001
2019-01-23,SELL,NSE:GICRE-EQ,203,254.8,248.17857142857144,-1394.530249999999,STOPLOSS,5.0,1.0,
2019-01-23,BUY,NSE:WIPRO-EQ,381,131.83,,,ENTRY,,1.0,50288.424398999996
2019-01-24,SELL,NSE:LAURUSLABS-EQ,198,75.34,76.82714285714286,279.24251142857133,T1_EXIT,2.0,1.0,
2019-01-25,SELL,NSE:LAURUSLABS-EQ,461,75.34,75.34,-34.73174,STOPLOSS,3.0,1.0,
2019-01-25,BUY,NSE:PRICOLLTD-EQ,1097,45.5,,,ENTRY,,1.0,49942.92658628571
2019-01-28,SELL,NSE:WIPRO-EQ,114,131.83,135.7464285714286,430.99776428571556,T1_EXIT,5.0,1.0,
2019-01-29,SELL,NSE:PRICOLLTD-EQ,1097,45.5,43.68928571428572,-2034.2807178571402,STOPLOSS,4.0,1.0,
2019-01-29,BUY,NSE:NEULANDLAB-EQ,125,494.6,,,ENTRY,,1.0,61980.80777807142
2019-01-31,SELL,NSE:NEULANDLAB-EQ,38,494.6,513.0714285714286,682.41757142857,T1_EXIT,2.0,1.0,
2019-01-31,SELL,NSE:NEULANDLAB-EQ,26,494.6,531.5428571428572,946.6941714285723,T2_EXIT,2.0,1.0,
2019-01-31,T3_TRAIL,NSE:NEULANDLAB-EQ,0,494.6,,,T3_MILESTONE_TRAIL,2.0,1.0,
2019-01-31,TRAIL_SL,NSE:NEULANDLAB-EQ,0,494.6,,,TRAIL_T4,2.0,1.0,
2019-02-01,SELL,NSE:WIPRO-EQ,80,131.83,139.66285714285715,615.4555428571424,T2_EXIT,9.0,1.0,
2019-02-01,SELL,NSE:NEULANDLAB-EQ,61,494.6,550.0142857142857,3346.7205571428567,STOPLOSS,3.0,1.0,
2019-02-01,BUY,NSE:TIIL-EQ,146,523.25,,,ENTRY,,1.0,76449.08433664286
2019-02-07,SELL,NSE:TIIL-EQ,44,523.25,546.9357142857143,1018.1062571428583,T1_EXIT,6.0,1.0,
2019-02-12,SELL,NSE:WIPRO-EQ,187,131.83,140.63,1619.3021899999967,TIMEEXIT,20.0,1.0,
2019-02-12,BUY,NSE:AMBER-EQ,81,649.45,,,ENTRY,,1.0,52906.63588907144
2019-02-13,SELL,NSE:TIIL-EQ,31,523.25,570.6214285714286,1450.825021428573,T2_EXIT,12.0,1.0,
2019-02-14,SELL,NSE:TIIL-EQ,71,523.25,546.9357142857143,1642.8532785714303,STOPLOSS,13.0,1.0,
2019-02-14,BUY,NSE:PGEL-EQ,7059,7.98,,,ENTRY,,1.0,56333.04645407144
2019-02-19,SELL,NSE:PGEL-EQ,7059,7.98,7.249285714285715,-5209.284850714281,STOPLOSS,5.0,1.0,
2019-02-19,BUY,NSE:APOLLOHOSP-EQ,46,1116.4,,,ENTRY,,1.0,51593.99235042858
2019-02-25,SELL,NSE:APOLLOHOSP-EQ,14,1116.4,1169.8857142857144,732.4215999999997,T1_EXIT,6.0,1.0,
2019-03-01,SELL,NSE:AMBER-EQ,24,649.45,692.1285714285715,1007.6746285714289,T1_EXIT,17.0,1.0,
2019-03-05,SELL,NSE:AMBER-EQ,57,649.45,718.5,3894.895499999998,TIMEEXIT,21.0,1.0,
2019-03-05,BUY,NSE:IGARASHI-EQ,176,406.3,,,ENTRY,,1.0,71811.85094614289
2019-03-11,SELL,NSE:APOLLOHOSP-EQ,32,1116.4,1204.05,2766.270399999996,TIMEEXIT,20.0,1.0,
2019-03-11,BUY,NSE:REFEX-EQ,4717,8.91,,,ENTRY,,1.0,42031.536386142885
2019-03-12,SELL,NSE:REFEX-EQ,1415,8.91,9.259285714285715,481.1373964285726,T1_EXIT,1.0,1.0,
2019-03-13,SELL,NSE:REFEX-EQ,3302,8.91,8.91,-29.42082,STOPLOSS,2.0,1.0,
2019-03-13,BUY,NSE:ABBOTINDIA-EQ,5,7353.15,,,ENTRY,,1.0,42400.255681928604
2019-03-18,SELL,NSE:IGARASHI-EQ,176,406.3,372.32500000000005,-6045.129199999994,STOPLOSS,13.0,1.0,
2019-03-18,BUY,NSE:IGARASHI-EQ,183,372.35,,,ENTRY,,1.0,68195.29522692863
2019-03-27,SELL,NSE:IGARASHI-EQ,183,372.35,347.06428571428575,-4690.798478571427,STOPLOSS,9.0,1.0,
2019-03-27,BUY,NSE:OPTIEMUS-EQ,677,94.3,,,ENTRY,,1.0,63912.25055121435
2019-04-02,SELL,NSE:ABBOTINDIA-EQ,5,7353.15,7309.2,-256.2959999999991,TIMEEXIT,20.0,1.0,
2019-04-02,SELL,NSE:OPTIEMUS-EQ,203,94.3,99.86428571428571,1109.2775500000005,T1_EXIT,6.0,1.0,
2019-04-02,BUY,NSE:BSOFT-EQ,564,101.75,,,ENTRY,,1.0,57483.27195621435
2019-04-03,SELL,NSE:OPTIEMUS-EQ,142,94.3,105.42857142857143,1565.2862857142866,T2_EXIT,7.0,1.0,
2019-04-04,T3_TRAIL,NSE:OPTIEMUS-EQ,0,94.3,,,T3_MILESTONE_TRAIL,8.0,1.0,
2019-04-09,TRAIL_SL,NSE:OPTIEMUS-EQ,0,94.3,,,TRAIL_T4,13.0,1.0,
2019-04-11,TRAIL_SL,NSE:OPTIEMUS-EQ,0,94.3,,,TRAIL_T5,15.0,1.0,
2019-04-12,SELL,NSE:OPTIEMUS-EQ,332,94.3,116.55714285714286,7350.674457142861,STOPLOSS,16.0,1.0,
2019-04-12,BUY,NSE:WEBELSOLAR-EQ,2031,26.6,,,ENTRY,,1.0,54036.068324785774
2019-04-22,SELL,NSE:BSOFT-EQ,564,101.75,100.7,-648.9947999999985,TIMEEXIT,20.0,1.0,
2019-04-22,BUY,NSE:CREDITACC-EQ,115,490.15,,,ENTRY,,1.0,56429.51086478577
2019-04-25,SELL,NSE:WEBELSOLAR-EQ,2031,26.6,24.264285714285716,-4793.116478571428,STOPLOSS,13.0,1.0,
2019-04-25,SELL,NSE:CREDITACC-EQ,34,490.15,511.27142857142854,700.7453428571426,T1_EXIT,3.0,1.0,
2019-04-25,BUY,NSE:IMAGICAA-EQ,7410,8.85,,,ENTRY,,1.0,65585.85131764293
2019-05-03,SELL,NSE:CREDITACC-EQ,24,490.15,532.3928571428571,1001.0511428571426,T2_EXIT,11.0,1.0,
2019-05-06,SELL,NSE:IMAGICAA-EQ,7410,8.85,7.944642857142857,-6767.5662321428545,STOPLOSS,11.0,1.0,
2019-05-06,BUY,NSE:RPOWER-EQ,10746,6.6,,,ENTRY,,1.0,70924.20708728577
2019-05-07,SELL,NSE:CREDITACC-EQ,57,490.15,511.27142857142854,1174.7789571428568,STOPLOSS,15.0,1.0,
2019-05-07,BUY,NSE:TATAINVEST-EQ,38,853.75,,,ENTRY,,1.0,33231.13190871436
2019-05-16,SELL,NSE:TATAINVEST-EQ,11,853.75,865.7214285714285,122.16277857142815,T1_EXIT,9.0,1.0,
2019-05-20,SELL,NSE:TATAINVEST-EQ,8,853.75,877.6928571428572,184.52131428571457,T2_EXIT,13.0,1.0,
2019-05-21,SELL,NSE:TATAINVEST-EQ,19,853.75,865.7214285714285,211.00843571428499,STOPLOSS,14.0,1.0,
2019-05-21,BUY,NSE:IFCI-EQ,3383,9.95,,,ENTRY,,1.0,33667.856934428644
2019-05-22,SELL,NSE:RPOWER-EQ,3224,6.6,7.396428571428571,2543.8396285714293,T1_EXIT,16.0,1.0,
2019-05-22,SELL,NSE:IFCI-EQ,3383,9.95,9.205357142857142,-2550.268508928571,STOPLOSS,1.0,1.0,
