date,action,symbol,shares,entry_price,exit_price,pnl,reason,holding_days,allocation_multiplier,adjusted_capital
2019-01-02,BUY,NSE:RAJESHEXPO-EQ,87,572.45,,,ENTRY,,1.0,50000.0
2019-01-02,BUY,NSE:JUBLPHARMA-EQ,63,708.75,,,ENTRY,,1.0,45132.342165
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,26,572.45,580.8214285714287,202.55578571428705,T1_EXIT,5.0,1.0,
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,18,572.45,589.1928571428572,290.76595714285696,T2_EXIT,5.0,1.0,
2019-01-08,SELL,NSE:RAJESHEXPO-EQ,43,572.45,580.8214285714287,334.9961071428594,STOPLOSS,6.0,1.0,
2019-01-08,BUY,NSE:RAJESHEXPO-EQ,88,571.25,,,ENTRY,,1.0,50474.352105000005
2019-01-10,SELL,NSE:JUBLPHARMA-EQ,19,708.75,726.3928571428571,321.4128214285708,T1_EXIT,8.0,1.0,
2019-01-15,SELL,NSE:JUBLPHARMA-EQ,44,708.75,708.75,-31.185000000000002,STOPLOSS,13.0,1.0,
2019-01-15,SELL,NSE:RAJESHEXPO-EQ,26,571.25,581.2357142857143,244.51644285714235,T1_EXIT,7.0,1.0,
2019-01-15,BUY,NSE:IGARASHI-EQ,109,540.95,,,ENTRY,,1.0,59220.75394285715
2019-01-16,SELL,NSE:RAJESHEXPO-EQ,19,571.25,591.2214285714285,368.22393571428495,T2_EXIT,8.0,1.0,
2019-01-17,T3_TRAIL,NSE:RAJESHEXPO-EQ,0,571.25,,,T3_MILESTONE_TRAIL,9.0,1.0,
2019-01-17,TRAIL_SL,NSE:RAJESHEXPO-EQ,0,571.25,,,TRAIL_T4,9.0,1.0,
2019-01-18,SELL,NSE:RAJESHEXPO-EQ,43,571.25,601.2071428571428,1262.3052357142833,STOPLOSS,10.0,1.0,
2019-01-18,BUY,NSE:FINCABLES-EQ,88,446.45,,,ENTRY,,1.0,39443.71800214286
2019-01-21,SELL,NSE:IGARASHI-EQ,109,540.95,519.2964285714286,-2416.8425964285757,STOPLOSS,6.0,1.0,
2019-01-21,SELL,NSE:FINCABLES-EQ,88,446.45,437.71785714285716,-806.9477428571407,STOPLOSS,3.0,1.0,
2019-01-21,BUY,NSE:COALINDIA-EQ,217,229.0,,,ENTRY,,1.0,49763.412698214284
2019-01-21,BUY,NSE:FINCABLES-EQ,102,439.05,,,ENTRY,,1.0,44805.719156785715
2019-01-23,SELL,NSE:FINCABLES-EQ,102,439.05,429.34285714285716,-1033.9215428571426,STOPLOSS,2.0,1.0,
2019-01-23,BUY,NSE:FINCABLES-EQ,103,424.7,,,ENTRY,,1.0,43834.884978214286
2019-01-24,SELL,NSE:COALINDIA-EQ,217,229.0,224.07142857142858,-1118.1234999999972,STOPLOSS,3.0,1.0,
