date,symbol,trade_id,entry_date,entry_price,shares,total_trade_pnl,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag,NORM_BB,BB_Squeeze
2024-10-07,NSE:360ONE-EQ,1,2024-10-03,955.45,194,3687.8160607142813,26.340254105980776,0.0242713234576593,0.0498904779348548,3.079733051445241,0.9484126984126984,0.1895732911396139,1,-0.2894243639359076,0.0
2025-03-11,NSE:AAVAS-EQ,1,2025-03-06,1706.0,213,23261.90537857145,54.02469135802473,0.0070072012538714,0.014809077206498,1.3836392765148111,0.7222222222222222,0.004314812410482,1,0.7400299563527016,1.0
2019-07-30,NSE:ACE-EQ,1,2019-07-24,76.65,612,804.2215285714268,9.907834101382504,0.0184005009654933,0.0434255894138477,0.6943482610557101,0.0753968253968253,-0.1134399923769284,-1,0.1002114954360706,0.0
2023-03-20,NSE:ADANIENSOL-EQ,1,2023-03-15,928.35,119,13038.383700000008,63.21086110319947,0.0499303788775496,0.0486462156360362,1.996580540525147,0.98015873015873,-0.9110671150204326,-1,0.7405330139749704,1.0
2023-03-28,NSE:ADANIENSOL-EQ,2,2023-03-20,1009.1,16,2843.6199000000015,81.87571921749137,0.0487651150699029,0.0509612526013279,1.6694170537490816,0.9603174603174603,-0.8498738888214931,-1,0.8901196545632775,1.0
2025-09-11,NSE:AIAENG-EQ,1,2025-09-09,3033.3,93,1713.5948142857085,36.452634609847394,0.0083906274178331,0.0174656550385954,1.4978189976380698,0.8650793650793651,-0.066042609100531,-1,0.147498399698601,1.0
2022-08-19,NSE:ALEMBICLTD-EQ,2,2022-08-16,72.8,669,4037.631157142858,57.35294117647058,0.0099201559943966,0.0245290423861852,1.908696442743378,0.6507936507936508,-0.1652217015972001,-1,0.9905350660420068,1.0
2024-10-24,NSE:ALEMBICLTD-EQ,3,2024-10-22,121.7,59,134.77594857142842,23.44303797468353,0.0240602006830105,0.0459091442657588,1.1450621729075037,0.25,0.1640038780644973,1,-0.2366287866704781,0.0
2020-02-27,NSE:ALKYLAMINE-EQ,1,2020-02-13,619.04,33,2617.9251142857147,83.17307692307682,0.0194959553567977,0.0377220027323413,0.4818385837625699,0.8134920634920635,0.1702405388855789,1,0.9301640566097618,0.0
2021-02-12,NSE:ALLCARGO-EQ,2,2021-02-10,33.13,1605,412.02443000000056,44.24242424242429,0.0089675310614418,0.0214307274373679,1.3660268041893484,0.7142857142857143,0.1086052496476085,1,0.5811054305957755,0.0
2021-02-18,NSE:ALLCARGO-EQ,3,2021-02-12,32.58,1639,467.23616999999905,41.7142857142857,0.00950319151749,0.0237875997544505,1.189474415794792,0.8412698412698413,0.1084780162190963,1,0.2743729465086346,0.0
2024-07-10,NSE:ALLCARGO-EQ,4,2024-06-26,59.97,192,1226.6004000000003,16.711229946524057,0.022384784299223,0.0440220110055027,0.8911160235257838,0.8492063492063492,-0.0842263828690725,-1,0.0906972869313732,0.0
2021-04-19,NSE:ALOKINDS-EQ,1,2021-04-12,20.75,4731,1407.4294357142821,59.77011494252875,0.0215675873868209,0.0368330464716006,1.4043249773080893,0.7777777777777778,-0.0662350992509148,-1,0.4744595678663368,1.0
2021-04-27,NSE:ALOKINDS-EQ,2,2021-04-19,20.35,3549,11680.615099999997,50.54945054945056,0.024204921378279,0.0366795366795366,0.8400871494511118,0.5238095238095238,-0.0654523252623616,-1,0.2853826520046513,1.0
2022-11-30,NSE:ALOKINDS-EQ,4,2022-11-25,15.05,1211,1392.7721357142832,12.500000000000057,0.0150074672422987,0.0317987660180351,1.8625039415366589,0.4563492063492063,-0.2276806209585749,-1,0.1739297488615395,1.0
2023-08-24,NSE:ALOKINDS-EQ,8,2023-08-11,15.9,3810,9839.946814285722,63.888888888888886,0.0245769210017334,0.0368373764600179,1.2477077680660031,0.9126984126984128,-0.0079375528674796,-1,0.7668535161571969,1.0
2024-03-12,NSE:ALOKINDS-EQ,10,2024-03-06,29.05,398,1113.9625035714282,50.0,0.0243425276656175,0.0399557413326776,1.0042308657200183,0.0753968253968253,0.1970340564910131,1,0.572227804261357,1.0
2024-05-02,NSE:ALOKINDS-EQ,12,2024-04-15,27.0,10998,4789.628357142859,49.685534591194966,0.0250043774078303,0.0410052910052909,0.9481557896270107,0.1031746031746031,0.1562768298811983,1,0.3446939362641637,0.0
2025-05-07,NSE:APARINDS-EQ,1,2025-04-16,4995.5,73,65812.81408928568,14.667567899717326,0.0317898561719091,0.0523049315812802,0.4018509983258839,0.3134920634920635,-0.2977163039658786,-1,0.2162033822633159,0.0
2019-03-11,NSE:APOLLOHOSP-EQ,1,2019-02-18,1116.85,35,3784.848678571432,24.129634871214225,0.0290831901090959,0.0473077980800594,1.2576022572116687,0.9365079365079364,0.0635505249666822,1,0.0788984780080918,0.0
2021-07-28,NSE:ARE&M-EQ,1,2021-07-20,713.35,41,112.68599285714342,14.140271493212694,0.0057088938160111,0.01206580620613,1.4685926780603806,0.6825396825396826,-0.0560204334754172,-1,-0.1874565525571795,0.0
2021-08-05,NSE:ARE&M-EQ,3,2021-07-29,694.85,131,4601.005157142865,17.84660766961653,0.0077428497246542,0.0151882729057658,2.640558635946703,0.9126984126984128,-0.0637452440216179,-1,-0.1410489973689566,0.0
2025-07-16,NSE:ARE&M-EQ,4,2025-07-11,978.05,8,36.92586071428586,52.54612546125456,0.00682713880044,0.0162677923272984,1.1369671253746148,0.6587301587301587,-0.0819218802563676,-1,0.5865886339249279,1.0
2019-07-05,NSE:ARVIND-EQ,1,2019-06-24,62.5,491,4729.066075000003,27.08333333333333,0.0398256411248863,0.0633714285714286,1.2889827072770277,0.7936507936507936,-1.237394596175507,-1,0.0745561703745216,0.0
2020-10-26,NSE:ARVINDFASN-EQ,1,2020-10-12,127.65,481,1203.6618000000012,51.92604006163329,0.0252043072472219,0.0491578535056795,0.6210165411419999,0.7142857142857143,-0.6485295131377022,-1,0.3856607623200634,1.0
2020-11-19,NSE:ARVINDFASN-EQ,2,2020-11-11,124.65,372,6315.481285714286,40.19607843137253,0.0131589716610125,0.0309724371096212,1.2296266055895302,0.7698412698412699,-0.5677714237419769,-1,0.3895332356731423,1.0
2021-07-19,NSE:ARVINDFASN-EQ,3,2021-07-06,139.7,677,27163.679042857148,52.51256281407035,0.0128241419021564,0.0305757234891092,1.203376228706357,0.7698412698412699,-0.1119672285322555,-1,0.6714223325277711,1.0
2024-02-07,NSE:ASHOKLEY-EQ,4,2024-02-02,87.03,2429,13234.63685142855,45.03058103975536,0.0119024034603715,0.026206070156432,1.8647336353186013,0.9444444444444444,0.0314195434068557,1,0.4651191066449401,1.0
2024-03-18,NSE:ASHOKLEY-EQ,6,2024-03-13,79.9,323,204.2276542857136,20.162748643761333,0.0131611130435653,0.0218844984802431,1.1158117842965165,0.7658730158730159,0.0159136465125811,1,-0.3713941635914576,0.0
2024-08-01,NSE:ASHOKLEY-EQ,8,2024-07-25,116.22,1074,15001.19444785713,57.954545454545446,0.013639657011775,0.0273803377830223,1.8358638624342196,0.876984126984127,0.1213776324265902,1,0.5939622725856807,0.0
