entry_date,symbol,entry_price,shares,investment_amount,probability,darvas_breakout_up,feature_RSI_14,feature_VOL_20,feature_NORM_ATR,feature_volume_ratio,feature_darvas_high,feature_darvas_low,feature_ema_9_21_diff,feature_ema_50_200_diff,feature_NORM_BB
02-01-2019,NSE:CAPLIPOINT-EQ,382.75,130,49757.5,,0,27.73109244,0.010732789,0.019044509,0.845868825,489.75,398.85,-0.015455958,-0.148041991,0.261069731
02-01-2019,NSE:RAJESHEXPO-EQ,572.45,78,44651.1,,0,56.98924731,0.002571421,0.01462386,1.254700477,784.8,542.05,-4.23E-06,-0.084323609,0.85550656
08-01-2019,NSE:RAJESHEXPO-EQ,571.25,80,45700,,0,54.00843882,0.003444471,0.017480463,0.670056776,604.95,562,0.001163753,-0.082490839,0.489596324
14-01-2019,NSE:GODREJAGRO-EQ,494.6,103,50943.8,,0,39.56228956,0.005982836,0.011871065,0.673160374,660,590.55,-0.00525973,-0.101291093,0.192044364
17-01-2019,NSE:COALINDIA-EQ,232.05,318,73791.9,,0,22.95514512,0.010337008,0.014298027,0.56111748,289.2,247.2,-0.01867164,-0.079516241,0.271793316
18-01-2019,NSE:CIPLA-EQ,509.4,55,28017,,0,36.08815427,0.006550481,0.014716193,0.963650969,678.45,612.6,-0.007011216,-0.084737675,0.178534283
22-01-2019,NSE:BBL-EQ,553.15,123,68037.45,,0,24.68612425,0.010039904,0.019365711,0.694846195,617,557.17,-0.009247109,-0.066774705,-0.000135137
24-01-2019,NSE:BBL-EQ,532.3,94,50036.2,,0,20.52192923,0.01089551,0.021750624,2.686304424,617,557.17,-0.01649448,-0.071807322,-0.158307149
24-01-2019,NSE:COALINDIA-EQ,223.85,204,45665.4,,0,12.46290801,0.008644968,0.01329015,0.782926216,289.2,247.2,-0.021732357,-0.090046167,0.023993523
28-01-2019,NSE:HAL-EQ,366.4,138,50563.2,,0,14.8175726,0.011529163,0.019327043,0.258019384,474,382.5,-0.017629668,-0.128196562,-0.036435818
28-01-2019,NSE:CHOLAFIN-EQ,225.67,204,46036.68,,0,24.51751251,0.011182608,0.026910343,0.584440207,277.98,243.6,-0.021528772,-0.081953952,0.042892989
30-01-2019,NSE:MARICO-EQ,365.9,133,48664.7,,0,9.230769231,0.009009592,0.020575489,1.262235013,396.6,360.65,-0.007591879,0.058101177,0.052661106
