date,portfolio_value
2019-01-01,100000.0
2019-01-02,99905.54559999998
2019-01-03,99851.9956
2019-01-04,99991.3456
2019-01-07,100671.51734285714
2019-01-08,101099.39345
2019-01-09,101181.99345000001
2019-01-10,101203.00627142857
2019-01-11,101797.00627142857
2019-01-14,101843.20627142857
2019-01-15,101577.74461428574
2019-01-16,102202.81855000003
2019-01-17,102336.11855000001
2019-01-18,102077.40778571428
2019-01-21,101997.40778571428
2019-01-22,101101.18324642858
2019-01-23,101200.33324642858
2019-01-24,100894.22011785716
2019-01-25,99259.63516785715
2019-01-28,96788.8300375
2019-01-29,96733.93003749999
2019-01-30,97355.67692535714
2019-01-31,97769.19805749999
2019-02-01,99464.0757717857
2019-02-04,97967.9490717857
2019-02-05,97997.64907178571
2019-02-06,98661.55043071427
2019-02-07,101355.07782357142
2019-02-08,101517.42782357142
2019-02-11,101490.67782357142
2019-02-12,101249.87782357141
2019-02-13,102230.79216642855
2019-02-14,101713.79216642855
2019-02-15,101009.60386642856
2019-02-18,100460.9678092857
2019-02-19,100484.76780928571
2019-02-20,101199.52199499999
2019-02-21,102131.447795
2019-02-22,101574.947795
2019-02-25,102785.50616642857
2019-02-26,101595.50616642855
2019-02-27,101310.95616642856
2019-02-28,101933.95616642856
2019-03-01,102460.80616642856
2019-03-05,104150.75616642857
2019-03-06,104214.2665092857
2019-03-07,103518.61520928572
2019-03-08,101611.16520928571
2019-03-11,103059.42695928572
2019-03-12,104520.32695928571
2019-03-13,102233.02695928572
2019-03-14,99243.97508071427
2019-03-15,98674.82508071426
2019-03-18,97234.62508071428
2019-03-19,98758.15354857141
2019-03-20,98999.75354857142
2019-03-22,101832.36783428569
2019-03-25,99483.71374857142
2019-03-26,100670.1637485714
2019-03-27,98483.58926357141
2019-03-28,99858.59321357141
2019-03-29,99815.52321357143
2019-04-01,100948.98321357142
2019-04-02,102509.7024242857
2019-04-03,103452.18949571426
2019-04-04,103942.91818142857
2019-04-05,104696.53818142856
2019-04-08,105206.85818142857
2019-04-09,105795.90818142856
2019-04-10,106439.04818142857
2019-04-11,104791.33181714284
2019-04-12,105383.10181714286
2019-04-15,104719.63181714286
2019-04-16,102490.49020714285
2019-04-18,102829.64020714285
2019-04-22,103761.19020714285
2019-04-23,103956.76208214284
2019-04-24,102944.33208214285
2019-04-25,101078.68208214286
2019-04-26,101430.13208214284
2019-04-30,99081.13208214284
2019-05-02,95585.2327857143
2019-05-03,96012.73278571428
2019-05-06,93521.2327857143
2019-05-07,92185.18278571428
2019-05-08,90346.57314821429
2019-05-09,90314.3731482143
2019-05-10,89747.6731482143
2019-05-13,88356.87024107142
2019-05-14,86926.07063035714
2019-05-15,86818.68731607142
2019-05-16,86959.63731607143
2019-05-17,87621.09041607141
2019-05-20,91020.30015749998
2019-05-21,90873.32470535711
2019-05-22,87444.26204464282
2019-05-23,86372.75204464281
2019-05-24,93632.86129821424
2019-05-27,96726.78280107139
2019-05-28,100631.63280107139
2019-05-29,98862.13280107139
2019-05-30,99658.61475821424
2019-05-31,97350.15069392853
2019-06-03,96916.95069392853
2019-06-04,94519.10009214282
2019-06-06,92385.71049214281
2019-06-07,90808.5104921428
2019-06-10,90348.51049214281
2019-06-11,91357.71049214281
2019-06-12,91390.91049214281
2019-06-13,90684.51049214281
2019-06-14,90800.1104921428
2019-06-17,89875.31049214282
2019-06-18,89695.31049214282
2019-06-19,88525.45674928569
2019-06-20,90452.3167492857
2019-06-21,88776.91674928568
2019-06-24,89040.51674928569
2019-06-25,88908.5967492857
2019-06-26,88669.83674928569
2019-06-27,87891.9367492857
2019-06-28,86984.17674928569
2019-07-01,87363.4967492857
2019-07-02,87208.35674928568
2019-07-03,86879.83674928569
2019-07-04,88035.89674928569
2019-07-05,86753.73674928569
2019-07-08,85513.5567492857
2019-07-09,87304.73295928567
2019-07-10,85938.60295928566
2019-07-11,86247.13295928566
2019-07-12,84841.10295928566
2019-07-15,86900.18295928568
2019-07-16,87282.30933928568
2019-07-17,86783.41825357138
2019-07-18,83994.51616499995
2019-07-19,81072.88089499994
2019-07-22,80960.55747499995
2019-07-23,81163.13747499995
2019-07-24,81255.09729499994
2019-07-25,79927.55677499992
2019-07-26,78104.7058571428
2019-07-29,78295.45585714278
2019-07-30,77095.75343607136
2019-07-31,78342.56608749993
2019-08-01,77718.28858749995
2019-08-02,78316.84858749995
2019-08-05,75690.05608035708
2019-08-06,75646.28608035707
2019-08-07,74588.96608035709
2019-08-08,75034.75980464279
2019-08-09,75854.4025046428
2019-08-13,74303.5425846428
2019-08-14,74440.65682464279
2019-08-16,73830.0268246428
2019-08-19,73787.3268246428
2019-08-20,74385.9768246428
2019-08-21,76000.1668246428
2019-08-22,76526.04489178566
2019-08-23,78321.09436321422
2019-08-26,78087.14572321423
2019-08-27,77678.63572321423
2019-08-28,77287.80050178566
2019-08-29,77287.80050178566
2019-08-30,77287.80050178566
2019-09-03,77287.80050178566
2019-09-04,77287.80050178566
2019-09-05,77287.80050178566
2019-09-06,77287.80050178566
2019-09-09,77287.80050178566
2019-09-11,77287.80050178566
2019-09-12,77287.80050178566
2019-09-13,77287.80050178566
2019-09-16,77287.80050178566
2019-09-17,77287.80050178566
2019-09-18,77287.80050178566
2019-09-19,77287.80050178566
2019-09-20,77287.80050178566
2019-09-23,77287.80050178566
2019-09-24,77287.80050178566
2019-09-25,77287.80050178566
2019-09-26,77251.11125178565
2019-09-27,76922.21125178566
2019-09-30,76961.86125178565
2019-10-01,76444.36769178565
2019-10-03,75475.9222596428
2019-10-04,73688.12225964281
2019-10-07,72573.10195321424
2019-10-09,73849.55195321425
2019-10-10,73945.22487321425
2019-10-11,74073.42487321424
2019-10-14,73812.86567321426
2019-10-15,73167.44257321426
2019-10-16,74205.84257321426
2019-10-17,74922.45800892854
2019-10-18,74991.1814160714
2019-10-22,75167.7814160714
2019-10-23,74675.56671607142
2019-10-24,76577.2667160714
2019-10-25,76863.83171607142
2019-10-27,78036.27926607142
2019-10-29,77977.04143749998
2019-10-30,77248.94710749999
2019-10-31,76315.9371075
2019-11-01,80639.5750975
2019-11-04,82896.69509749999
2019-11-05,81412.47175249999
2019-11-06,80349.0717525
2019-11-07,83383.43560964285
2019-11-08,82684.61119464284
2019-11-11,83226.52865178572
2019-11-13,82820.18695178571
2019-11-14,83126.4469517857
2019-11-15,84701.1803375
2019-11-18,85735.3603375
2019-11-19,86289.03207749999
2019-11-20,85534.26840464285
2019-11-21,87477.46840464284
2019-11-22,89864.41122964285
2019-11-25,90916.46122964285
2019-11-26,91691.65044392858
2019-11-27,92856.55044392857
2019-11-28,93371.35044392856
2019-11-29,94327.45044392857
2019-12-02,94797.15044392858
2019-12-03,93923.48645107143
2019-12-04,92797.13436535712
2019-12-05,93065.23436535713
2019-12-06,90172.52276535712
2019-12-09,89872.7227653571
2019-12-10,89032.57276535711
2019-12-11,88329.27276535712
2019-12-12,89860.82276535711
2019-12-13,95165.90842249998
2019-12-16,95392.90842249998
2019-12-17,95118.30842249998
2019-12-18,94856.05842249998
2019-12-19,93941.63536535711
2019-12-20,95397.55993499997
2019-12-23,93985.96524499997
2019-12-24,94091.97524499998
2019-12-26,96339.97524499997
2019-12-27,95635.30524499997
2019-12-30,99324.14656499997
2019-12-31,100828.77656499998
2020-01-01,99616.48616499998
2020-01-02,101589.63959714284
2020-01-03,101960.34959714283
2020-01-06,101814.83959714283
2020-01-07,101706.66800714283
2020-01-08,101709.22800714284
2020-01-09,102154.99247142854
2020-01-10,101674.00786571426
2020-01-13,101832.90786571427
2020-01-14,101893.80786571426
2020-01-15,103879.27824428568
2020-01-16,105230.17878714284
2020-01-17,107135.50656214284
2020-01-20,108246.0919235714
2020-01-21,107634.22923785711
2020-01-22,106965.52923785713
2020-01-23,107407.87923785711
2020-01-24,108655.20126642854
2020-01-27,106001.04336642855
2020-01-28,103687.24966285711
2020-01-29,103664.44966285712
2020-01-30,102568.24966285711
2020-01-31,101635.14547535712
2020-02-01,101061.2822253571
2020-02-03,102690.11454678567
2020-02-04,103364.23961821425
2020-02-05,105851.1135753571
2020-02-06,104947.20798964282
2020-02-07,108172.23113249996
2020-02-10,106192.63113249998
2020-02-11,104092.75454321425
2020-02-12,103096.64916464282
2020-02-13,101721.9491646428
2020-02-14,103395.99862178566
2020-02-17,102890.76738178567
2020-02-18,101690.15281749997
2020-02-19,102205.68281749997
2020-02-20,101620.99281749997
2020-02-24,101523.10281749997
2020-02-25,100961.84281749996
2020-02-26,100469.80281749996
2020-02-27,101184.81281749996
2020-02-28,97868.2847760714
2020-03-02,97894.96275821424
2020-03-03,95942.62365821424
2020-03-04,95300.86932964282
2020-03-05,95532.01932964282
2020-03-06,93259.11932964282
2020-03-09,91150.17516178568
2020-03-11,88373.82516178567
2020-03-12,85104.56148142857
2020-03-13,84145.06148142857
2020-03-16,85423.46148142856
2020-03-17,86913.57595999999
2020-03-18,86086.95684571427
2020-03-19,83261.25684571426
2020-03-20,81516.02869214285
2020-03-23,81516.02869214285
2020-03-24,81475.39654214284
2020-03-25,81753.53774214286
2020-03-26,86568.57897785713
2020-03-27,89357.78712785713
2020-03-30,87184.02362785712
2020-03-31,87571.12362785713
2020-04-01,87923.92362785715
2020-04-03,87688.88226785713
2020-04-07,89234.91196142856
2020-04-08,90179.72374142858
2020-04-09,90994.25374142856
2020-04-13,91653.53374142858
2020-04-15,92152.70159142857
2020-04-16,93108.20819142857
2020-04-17,93691.58819142857
2020-04-20,89737.56819142857
2020-04-21,89737.56819142857
2020-04-22,93950.86819142857
2020-04-23,93367.48819142857
2020-04-24,102614.73208999998
2020-04-27,100091.94208999997
2020-04-28,99364.74443285713
2020-04-29,101995.09443285712
2020-04-30,105138.31443285714
2020-05-04,106115.8052685714
2020-05-05,107865.48841857142
2020-05-06,108287.31194714282
2020-05-07,105294.9685935714
2020-05-08,103944.04859357141
2020-05-11,102964.57806499998
2020-05-12,104305.74355071427
2020-05-13,107552.72902357142
2020-05-14,105682.03670214285
2020-05-15,105987.43670214285
2020-05-18,105642.87670214285
2020-05-19,106265.67670214284
2020-05-20,106185.35670214286
2020-05-21,107944.55670214284
2020-05-22,106137.55670214284
2020-05-26,106567.55670214284
2020-05-27,107330.40185214285
2020-05-28,107646.35185214283
2020-05-29,108094.55185214285
2020-06-01,112034.96354142856
2020-06-02,113913.46354142856
2020-06-03,115089.23529142857
2020-06-04,121374.13661285714
2020-06-05,121812.25661285713
2020-06-08,121401.8414042857
2020-06-09,118875.87459928573
2020-06-10,119186.72459928572
2020-06-11,115565.97245928572
2020-06-12,117390.68093607144
2020-06-15,115649.72273607145
2020-06-16,115051.69923607144
2020-06-17,116911.99923607145
2020-06-18,117642.44496821429
2020-06-19,117933.94496821429
2020-06-22,118421.09496821428
2020-06-23,122445.59528964288
2020-06-24,121658.30324321431
2020-06-25,123180.30324321432
2020-06-26,124166.10324321433
2020-06-29,122397.05324321431
2020-06-30,122394.30324321432
2020-07-01,122956.10324321431
2020-07-02,123755.66559321432
2020-07-03,123811.06559321431
2020-07-06,127572.32020750002
2020-07-07,129598.12020750003
2020-07-08,132112.70152178576
2020-07-09,134377.20152178576
2020-07-10,132267.98422178574
2020-07-13,130328.50835035718
2020-07-14,125651.19496500003
2020-07-15,125367.77496500002
2020-07-16,122191.31496500003
2020-07-17,124236.71496500004
2020-07-20,124455.20496500003
2020-07-21,120836.6663364286
2020-07-22,119649.57032785716
2020-07-23,119015.47032785718
2020-07-24,117113.07032785716
2020-07-27,116654.9203278572
2020-07-28,113924.79732785714
2020-07-29,114448.99732785716
2020-07-30,114026.59732785716
2020-07-31,111665.69732785717
2020-08-03,110218.59732785716
2020-08-04,112734.59732785716
2020-08-05,115649.69732785717
2020-08-06,116606.60995285715
2020-08-07,117643.35055285715
2020-08-10,118013.24662785718
2020-08-11,123370.99753500003
2020-08-12,126548.69753500001
2020-08-13,130388.89753500003
2020-08-14,128017.89753500003
2020-08-17,125271.09753500004
2020-08-18,125283.31574928576
2020-08-19,129218.56946357146
2020-08-20,130379.09591071433
2020-08-21,132217.94964214292
2020-08-24,134552.9696421429
2020-08-25,136939.19964214292
2020-08-26,136379.96964214288
2020-08-27,136051.2928207143
2020-08-28,135770.47698857143
2020-08-31,132580.59707071428
2020-09-01,133223.24767857144
2020-09-02,133178.13157857143
2020-09-03,133310.97939285715
2020-09-04,133180.47566785713
2020-09-07,132234.07566785716
2020-09-08,131163.32566785716
2020-09-09,129716.42566785717
2020-09-10,131195.67566785714
2020-09-11,129611.57566785716
2020-09-14,127081.77566785716
2020-09-15,128998.37566785715
2020-09-16,130361.27566785716
2020-09-17,130045.72566785714
2020-09-18,127834.97566785716
2020-09-21,124998.03218214287
2020-09-22,122374.34751964285
2020-09-23,126468.89581964287
2020-09-24,122175.44434821428
2020-09-25,127229.4017625
2020-09-28,129698.76195892858
2020-09-29,128033.21195892856
2020-09-30,127704.45260892856
2020-10-01,127343.50260892857
2020-10-05,130175.50260892857
2020-10-06,130676.45260892856
2020-10-07,129149.40260892858
2020-10-08,130701.80260892857
2020-10-09,131694.8743517857
2020-10-12,131169.19725178572
2020-10-13,129590.92270178573
2020-10-14,129223.22270178572
2020-10-15,129126.55285892858
2020-10-16,128317.17305892859
2020-10-19,129746.20381071429
2020-10-20,128772.4038107143
2020-10-21,128737.7538107143
2020-10-22,128501.86824464287
2020-10-23,129323.61824464287
2020-10-26,128233.0339017857
2020-10-27,127859.90330178573
2020-10-28,129783.55466607143
2020-10-29,129563.24491607145
2020-10-30,128293.64491607144
2020-11-02,128648.5098232143
2020-11-03,128253.5650232143
2020-11-04,128919.86502321431
2020-11-05,129782.16901607144
2020-11-06,132262.75350178574
2020-11-09,132846.97305535717
2020-11-10,133082.01365535718
2020-11-11,133004.92174107145
2020-11-12,134323.18583035716
2020-11-13,133291.94523035717
2020-11-14,134731.94523035717
2020-11-17,138008.88790892862
2020-11-18,141053.61521607148
2020-11-19,139576.3863089286
2020-11-20,140418.28630892863
2020-11-23,143282.04243750006
2020-11-24,143423.44243750005
2020-11-25,145222.3825517858
2020-11-26,146049.5273660715
2020-11-27,148492.08174464293
2020-12-01,149690.78174464294
2020-12-02,150185.78174464294
2020-12-03,154399.99800178577
2020-12-04,155028.79800178576
2020-12-07,156038.8980017858
2020-12-08,161578.99800178577
2020-12-09,161462.59800178575
2020-12-10,158453.7008303572
2020-12-11,157559.6008303572
2020-12-14,158646.6008303572
2020-12-15,156802.9008303572
2020-12-16,156610.84373750008
2020-12-17,159561.99373750007
2020-12-18,157403.4937375001
2020-12-21,154647.51754178578
2020-12-22,155737.48002821437
2020-12-23,155443.98002821437
2020-12-24,157386.87822821437
2020-12-28,163355.91436535725
