date,action,symbol,shares,entry_price,exit_price,pnl,reason,holding_days,allocation_multiplier,adjusted_capital
2019-01-02,BUY,NSE:RAJESHEXPO-EQ,87,572.45,,,ENTRY,,1.0,50000.0
2019-01-02,BUY,NSE:TIINDIA-EQ,127,353.0,,,ENTRY,,1.0,45132.342165
2019-01-03,SELL,NSE:TIINDIA-EQ,38,353.0,366.4392857142857,496.7681642857133,T1_EXIT,1.0,1.0,
2019-01-03,SELL,NSE:TIINDIA-EQ,27,353.0,379.87857142857143,715.4647071428574,T2_EXIT,1.0,1.0,
2019-01-04,SELL,NSE:TIINDIA-EQ,62,353.0,366.4392857142857,810.516478571427,STOPLOSS,2.0,1.0,
2019-01-04,BUY,NSE:ALKYLAMINE-EQ,149,314.74,,,ENTRY,,1.0,46912.46868
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,26,572.45,580.8214285714287,202.55578571428705,T1_EXIT,5.0,1.0,
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,18,572.45,589.1928571428572,290.76595714285696,T2_EXIT,5.0,1.0,
2019-01-08,SELL,NSE:RAJESHEXPO-EQ,43,572.45,580.8214285714287,334.9961071428594,STOPLOSS,6.0,1.0,
2019-01-08,BUY,NSE:RAJESHEXPO-EQ,87,571.25,,,ENTRY,,1.0,50231.949111
2019-01-15,SELL,NSE:RAJESHEXPO-EQ,26,571.25,581.2357142857143,244.51644285714235,T1_EXIT,7.0,1.0,
2019-01-16,SELL,NSE:RAJESHEXPO-EQ,18,571.25,591.2214285714285,348.84372857142785,T2_EXIT,8.0,1.0,
2019-01-17,T3_TRAIL,NSE:RAJESHEXPO-EQ,0,571.25,,,T3_MILESTONE_TRAIL,9.0,1.0,
2019-01-17,TRAIL_SL,NSE:RAJESHEXPO-EQ,0,571.25,,,TRAIL_T4,9.0,1.0,
2019-01-18,SELL,NSE:RAJESHEXPO-EQ,43,571.25,601.2071428571428,1262.3052357142833,STOPLOSS,10.0,1.0,
2019-01-18,BUY,NSE:GICRE-EQ,203,254.8,,,ENTRY,,1.0,51857.31910242857
2019-01-21,SELL,NSE:ALKYLAMINE-EQ,45,314.74,324.8385714285714,439.8179785714275,T1_EXIT,17.0,1.0,
2019-01-21,SELL,NSE:ALKYLAMINE-EQ,31,314.74,334.9371428571429,615.7283771428574,T2_EXIT,17.0,1.0,
2019-01-21,T3_TRAIL,NSE:ALKYLAMINE-EQ,0,314.74,,,T3_MILESTONE_TRAIL,17.0,1.0,
2019-01-22,SELL,NSE:ALKYLAMINE-EQ,73,314.74,334.9371428571429,1449.9410171428576,STOPLOSS,18.0,1.0,
2019-01-22,BUY,NSE:LAURUSLABS-EQ,659,75.34,,,ENTRY,,1.0,49720.37977800001
2019-01-23,SELL,NSE:GICRE-EQ,203,254.8,248.17857142857144,-1394.530249999999,STOPLOSS,5.0,1.0,
2019-01-23,BUY,NSE:WIPRO-EQ,381,131.83,,,ENTRY,,1.0,50288.424398999996
2019-01-24,SELL,NSE:LAURUSLABS-EQ,198,75.34,76.82714285714286,279.24251142857133,T1_EXIT,2.0,1.0,
2019-01-25,SELL,NSE:LAURUSLABS-EQ,461,75.34,75.34,-34.73174,STOPLOSS,3.0,1.0,
2019-01-25,BUY,NSE:PRICOLLTD-EQ,1097,45.5,,,ENTRY,,1.0,49942.92658628571
2019-01-28,SELL,NSE:WIPRO-EQ,114,131.83,135.7464285714286,430.99776428571556,T1_EXIT,5.0,1.0,
2019-01-29,SELL,NSE:PRICOLLTD-EQ,1097,45.5,43.68928571428572,-2034.2807178571402,STOPLOSS,4.0,1.0,
2019-01-29,BUY,NSE:SUDARSCHEM-EQ,198,312.4,,,ENTRY,,1.0,61980.80777807142
2019-01-30,SELL,NSE:SUDARSCHEM-EQ,59,312.4,321.1928571428571,499.8281928571429,T1_EXIT,1.0,1.0,
2019-01-31,SELL,NSE:SUDARSCHEM-EQ,139,312.4,312.4,-43.4236,STOPLOSS,2.0,1.0,
2019-01-31,BUY,NSE:HAVELLS-EQ,87,713.45,,,ENTRY,,1.0,62335.902231642845
2019-02-01,SELL,NSE:WIPRO-EQ,80,131.83,139.66285714285715,615.4555428571424,T2_EXIT,9.0,1.0,
2019-02-01,SELL,NSE:HAVELLS-EQ,26,713.45,732.3857142857144,473.28654285714356,T1_EXIT,1.0,1.0,
2019-02-07,SELL,NSE:HAVELLS-EQ,18,713.45,751.3214285714286,668.1619285714274,T2_EXIT,7.0,1.0,
2019-02-11,SELL,NSE:HAVELLS-EQ,43,713.45,732.3857142857144,782.7431285714297,STOPLOSS,11.0,1.0,
2019-02-11,BUY,NSE:OLECTRA-EQ,372,198.9,,,ENTRY,,1.0,74057.48152521429
2019-02-12,SELL,NSE:WIPRO-EQ,187,131.83,140.63,1619.3021899999967,TIMEEXIT,20.0,1.0,
2019-02-12,BUY,NSE:VEDL-EQ,203,152.85,,,ENTRY,,1.0,31043.530776214273
2019-02-21,SELL,NSE:OLECTRA-EQ,112,198.9,211.96428571428572,1439.4600000000003,T1_EXIT,10.0,1.0,
2019-02-21,SELL,NSE:VEDL-EQ,61,152.85,161.45,514.7515499999997,T1_EXIT,9.0,1.0,
2019-02-25,SELL,NSE:OLECTRA-EQ,260,198.9,198.9,-51.714,STOPLOSS,14.0,1.0,
2019-02-25,SELL,NSE:VEDL-EQ,43,152.85,170.04999999999998,732.2878499999995,T2_EXIT,13.0,1.0,
2019-02-25,BUY,NSE:GNFC-EQ,326,264.75,,,ENTRY,,1.0,86359.69694121428
2019-03-05,SELL,NSE:VEDL-EQ,99,152.85,174.95,2170.57995,TIMEEXIT,21.0,1.0,
2019-03-05,SELL,NSE:GNFC-EQ,98,264.75,277.8642857142857,1257.9692999999984,T1_EXIT,8.0,1.0,
2019-03-05,SELL,NSE:GNFC-EQ,68,264.75,290.97857142857146,1763.7563142857161,T2_EXIT,8.0,1.0,
2019-03-05,BUY,NSE:IGARASHI-EQ,163,406.3,,,ENTRY,,1.0,66450.02929907142
2019-03-12,T3_TRAIL,NSE:GNFC-EQ,0,264.75,,,T3_MILESTONE_TRAIL,15.0,1.0,
2019-03-18,SELL,NSE:IGARASHI-EQ,163,406.3,372.32500000000005,-5598.613974999995,STOPLOSS,13.0,1.0,
2019-03-18,BUY,NSE:DIVISLAB-EQ,36,1689.35,,,ENTRY,,1.0,61351.67251157142
2019-03-26,SELL,NSE:DIVISLAB-EQ,11,1689.35,1731.4821428571427,444.40726785714173,T1_EXIT,8.0,1.0,
2019-03-26,SELL,NSE:DIVISLAB-EQ,8,1689.35,1773.6142857142856,659.9253714285716,T2_EXIT,8.0,1.0,
2019-03-27,SELL,NSE:DIVISLAB-EQ,17,1689.35,1731.4821428571427,686.8112321428554,STOPLOSS,9.0,1.0,
2019-03-27,BUY,NSE:BATAINDIA-EQ,45,1371.55,,,ENTRY,,1.0,62908.96705585714
2019-03-28,SELL,NSE:BATAINDIA-EQ,14,1371.55,1401.4857142857143,399.4792000000004,T1_EXIT,1.0,1.0,
2019-04-01,TRAIL_SL,NSE:GNFC-EQ,0,264.75,,,TRAIL_T4,35.0,1.0,
2019-04-05,TRAIL_SL,NSE:GNFC-EQ,0,264.75,,,TRAIL_T5,39.0,1.0,
2019-04-11,SELL,NSE:BATAINDIA-EQ,31,1371.55,1371.55,-42.518049999999995,STOPLOSS,15.0,1.0,
2019-04-11,BUY,NSE:STLTECH-EQ,313,201.2,,,ENTRY,,1.15,63174.684315857136
2019-04-22,SELL,NSE:GNFC-EQ,160,264.75,317.20714285714286,8342.389714285713,STOPLOSS,56.0,1.15,
2019-04-22,BUY,NSE:RPOWER-EQ,6591,7.9,,,ENTRY,,1.15,52072.11701871428
2019-04-23,SELL,NSE:STLTECH-EQ,94,201.2,208.48214285714283,664.924107142856,T1_EXIT,12.0,1.15,
2019-04-24,SELL,NSE:STLTECH-EQ,219,201.2,201.2,-44.062799999999996,STOPLOSS,13.0,1.15,
2019-04-24,BUY,NSE:IMAGICAA-EQ,6933,9.0,,,ENTRY,,1.15,62400.06018514284
2019-04-30,SELL,NSE:RPOWER-EQ,6591,7.9,7.0910714285714285,-5378.385466071431,STOPLOSS,8.0,1.15,
2019-04-30,BUY,NSE:EDELWEISS-EQ,324,148.75,,,ENTRY,,1.15,48208.06596567856
2019-05-02,SELL,NSE:IMAGICAA-EQ,6933,9.0,8.07857142857143,-6444.2730214285675,STOPLOSS,8.0,1.15,
2019-05-02,BUY,NSE:STLTECH-EQ,290,189.75,,,ENTRY,,1.15,55146.64474639285
2019-05-07,SELL,NSE:STLTECH-EQ,87,189.75,201.43214285714285,998.8218321428566,T1_EXIT,5.0,1.15,
2019-05-08,SELL,NSE:EDELWEISS-EQ,324,148.75,137.8267857142857,-3583.77730714286,STOPLOSS,8.0,1.15,
2019-05-08,SELL,NSE:STLTECH-EQ,203,189.75,189.75,-38.51925,STOPLOSS,6.0,1.15,
2019-05-08,BUY,NSE:ACE-EQ,678,90.5,,,ENTRY,,1.15,61404.56480859821
2019-05-08,BUY,NSE:SOLARA-EQ,98,414.49,,,ENTRY,,1.15,40833.169643892856
2019-05-09,SELL,NSE:ACE-EQ,203,90.5,94.48928571428571,790.6436749999999,T1_EXIT,1.0,1.15,
2019-05-10,SELL,NSE:SOLARA-EQ,29,414.49,429.1114285714286,411.577197142857,T1_EXIT,2.0,1.15,
2019-05-13,SELL,NSE:SOLARA-EQ,69,414.49,414.49,-28.59981,STOPLOSS,5.0,1.15,
2019-05-13,BUY,NSE:IFCI-EQ,6416,9.1,,,ENTRY,,1.15,58387.22058182142
2019-05-15,SELL,NSE:ACE-EQ,475,90.5,90.5,-42.987500000000004,STOPLOSS,7.0,1.15,
2019-05-15,BUY,NSE:BATAINDIA-EQ,33,1328.05,,,ENTRY,,1.15,44437.694791821414
2019-05-17,SELL,NSE:BATAINDIA-EQ,10,1328.05,1364.3714285714286,349.5705714285724,T1_EXIT,2.0,1.15,
2019-05-20,SELL,NSE:IFCI-EQ,1925,9.1,9.585714285714285,916.5475000000001,T1_EXIT,7.0,1.15,
2019-05-20,SELL,NSE:IFCI-EQ,1347,9.1,10.071428571428571,1294.9480714285717,T2_EXIT,7.0,1.15,
